ts_code,trade_date,high,low,close
000985.CSI,20211018,5736.8118,5682.7147,5736.7267
000985.CSI,20211015,5751.4839,5690.0631,5740.9879
000985.CSI,20211014,5739.8404,5700.6683,5725.2119
000985.CSI,20211013,5729.9061,5637.7748,5723.2498
000985.CSI,20211012,5742.1115,5616.3578,5668.4526
000985.CSI,20211011,5792.2853,5746.942,5757.8935
000985.CSI,20211008,5795.934,5736.8479,5769.2936
000985.CSI,20210930,5731.664,5658.3434,5723.4586
000985.CSI,20210929,5709.5798,5619.5249,5639.4675
000985.CSI,20210928,5769.027,5715.0039,5752.7466
000985.CSI,20210927,5849.0849,5704.7139,5743.7954
000985.CSI,20210924,5871.9669,5801.2656,5807.9642
000985.CSI,20210923,5884.2275,5842.4691,5854.0768
000985.CSI,20210922,5828.4386,5736.7391,5824.6654
000985.CSI,20210917,5833.1728,5749.4438,5827.8096
000985.CSI,20210916,5931.646,5807.101,5807.1013
000985.CSI,20210915,5936.651,5880.5999,5910.0093
000985.CSI,20210914,6014.3686,5909.1851,5920.5741
000985.CSI,20210913,5999.1821,5950.2627,5981.7623
000985.CSI,20210910,6001.1264,5934.3101,5980.3584
000985.CSI,20210909,5954.5241,5906.1745,5954.4153
000985.CSI,20210908,5969.044,5919.3008,5943.7554
000985.CSI,20210907,5950.2514,5845.6019,5943.952
000985.CSI,20210906,5867.8908,5763.8838,5861.8134
000985.CSI,20210903,5826.6538,5747.3523,5767.876
000985.CSI,20210902,5798.9529,5747.6097,5798.4843
000985.CSI,20210901,5794.8988,5672.7176,5761.8693
000985.CSI,20210831,5759.3808,5686.9789,5759.2564
000985.CSI,20210830,5795.931,5735.0341,5762.8429
000985.CSI,20210827,5773.8428,5712.6946,5757.1462
000985.CSI,20210826,5813.2341,5730.1863,5733.4157
000985.CSI,20210825,5816.8131,5763.6876,5816.8131
000985.CSI,20210824,5800.898,5730.141,5786.1531
000985.CSI,20210823,5739.5121,5642.8581,5730.8049
000985.CSI,20210820,5678.061,5566.7366,5626.2403
000985.CSI,20210819,5724.3511,5646.0483,5694.725
000985.CSI,20210818,5710.7117,5630.6715,5703.6281
000985.CSI,20210817,5798.9666,5631.0197,5646.55
000985.CSI,20210816,5819.4497,5768.1111,5779.8252
000985.CSI,20210813,5855.0619,5775.022,5804.7324
000985.CSI,20210812,5850.8007,5798.1351,5824.1754
000985.CSI,20210811,5858.0334,5817.7786,5841.8049
000985.CSI,20210810,5837.2584,5761.1998,5837.2584
000985.CSI,20210809,5797.7636,5697.2708,5785.8298
000985.CSI,20210806,5755.1004,5698.7638,5738.1969
000985.CSI,20210805,5786.4406,5722.1436,5748.7541
000985.CSI,20210804,5780.8429,5686.3996,5780.6158
000985.CSI,20210803,5747.0812,5683.0993,5699.8084
000985.CSI,20210802,5727.72,5577.179,5727.72
000985.CSI,20210730,5621.3509,5550.2139,5607.7476
000985.CSI,20210729,5629.0751,5550.3503,5618.9424
000985.CSI,20210728,5532.9387,5370.3916,5481.8945
000985.CSI,20210727,5730.1867,5517.6481,5517.6481
000985.CSI,20210726,5814.2417,5607.8825,5694.9198
000985.CSI,20210723,5892.7877,5818.6945,5833.6449
000985.CSI,20210722,5898.9877,5863.0752,5898.5265
000985.CSI,20210721,5890.0981,5824.4666,5875.6775
000985.CSI,20210720,5807.4924,5751.3709,5805.9297
000985.CSI,20210719,5807.2014,5747.996,5798.3069
000985.CSI,20210716,5851.5359,5792.4679,5795.5313
000985.CSI,20210715,5845.8857,5747.4361,5845.1459
000985.CSI,20210714,5851.6677,5791.9582,5798.9801
000985.CSI,20210713,5861.3765,5824.1273,5861.0727
000985.CSI,20210712,5859.4178,5767.4783,5839.8959
000985.CSI,20210709,5765.5048,5666.3102,5752.113
000985.CSI,20210708,5799.5493,5740.6417,5748.9753
000985.CSI,20210707,5787.9213,5665.2631,5781.4765
000985.CSI,20210706,5739.5796,5645.2889,5710.2377
000985.CSI,20210705,5724.834,5675.5464,5720.7393
000985.CSI,20210702,5766.9877,5679.4706,5687.291
000985.CSI,20210701,5850.7883,5785.6251,5801.888
000985.CSI,20210630,5838.0108,5781.482,5834.1879
000985.CSI,20210629,5842.8173,5782.1375,5785.4997
000985.CSI,20210628,5844.6022,5812.6499,5839.2722
000985.CSI,20210625,5822.8464,5745.118,5812.0835
000985.CSI,20210624,5767.3909,5725.483,5745.7568
000985.CSI,20210623,5774.1933,5713.6245,5760.1769
000985.CSI,20210622,5727.2164,5684.5946,5725.3005
000985.CSI,20210621,5710.9689,5634.7921,5690.6488
000985.CSI,20210618,5684.7864,5627.0125,5669.4488
000985.CSI,20210617,5649.919,5593.128,5643.38
000985.CSI,20210616,5695.1465,5593.6301,5598.9779
000985.CSI,20210615,5758.9563,5675.9801,5699.5462
000985.CSI,20210611,5804.2296,5751.2841,5755.7328
000985.CSI,20210610,5814.3116,5739.5081,5797.1855
000985.CSI,20210609,5762.412,5719.9113,5747.4571
000985.CSI,20210608,5815.314,5708.7688,5739.3911
000985.CSI,20210607,5780.3496,5746.4346,5780.222
000985.CSI,20210604,5810.8026,5708.8135,5768.971
000985.CSI,20210603,5801.6502,5740.7292,5740.7292
000985.CSI,20210602,5831.9343,5745.6557,5767.1111
000985.CSI,20210601,5826.8726,5752.6594,5825.5946
000985.CSI,20210531,5809.3678,5747.9326,5809.3676
000985.CSI,20210528,5803.709,5737.0538,5764.9983
000985.CSI,20210527,5799.6401,5721.7765,5776.2073
000985.CSI,20210526,5762.5983,5733.3986,5744.1603
000985.CSI,20210525,5740.5707,5614.1179,5736.1304
000985.CSI,20210524,5611.1166,5553.9355,5611.1166
000985.CSI,20210521,5640.2258,5572.6095,5582.6059
000985.CSI,20210520,5632.1525,5580.0827,5614.1626
000985.CSI,20210519,5626.7575,5586.9026,5612.1951
000985.CSI,20210518,5622.8566,5586.8019,5622.2737
000985.CSI,20210517,5638.4029,5562.0741,5611.832
000985.CSI,20210514,5562.7297,5449.506,5562.1592
000985.CSI,20210513,5499.1316,5448.6509,5460.0805
000985.CSI,20210512,5516.1919,5451.3218,5511.4702
000985.CSI,20210511,5484.2802,5376.3377,5473.0722
000985.CSI,20210510,5470.283,5416.9893,5454.5386
000985.CSI,20210507,5533.8011,5445.0913,5445.0913
000985.CSI,20210506,5563.0699,5475.6056,5510.0088
000985.CSI,20210430,5573.5321,5510.7016,5544.2558
000985.CSI,20210429,5581.2953,5534.9462,5572.6645
000985.CSI,20210428,5548.4915,5486.1736,5548.4915
000985.CSI,20210427,5516.6727,5465.2127,5515.4807
000985.CSI,20210426,5610.5664,5508.4093,5512.8362
000985.CSI,20210423,5573.3358,5525.1906,5560.1726
000985.CSI,20210422,5553.5863,5514.9712,5536.2794
000985.CSI,20210421,5543.9289,5485.0298,5532.139
000985.CSI,20210420,5566.3598,5507.6864,5526.5316
000985.CSI,20210419,5535.0371,5401.4215,5533.776
000985.CSI,20210416,5431.0402,5366.5236,5420.676
000985.CSI,20210415,5395.6668,5337.4981,5382.6199
000985.CSI,20210414,5413.5616,5354.1426,5408.4332
000985.CSI,20210413,5402.1343,5336.1494,5350.8719
000985.CSI,20210412,5467.989,5349.7119,5365.0545
000985.CSI,20210409,5500.9934,5440.9792,5457.5934
000985.CSI,20210408,5530.574,5470.1468,5509.0241
000985.CSI,20210407,5531.1237,5464.8965,5509.2748
000985.CSI,20210406,5544.5942,5510.7009,5527.4872
000985.CSI,20210402,5536.3621,5486.2656,5524.692
000985.CSI,20210401,5492.9972,5433.946,5487.6981
000985.CSI,20210331,5455.4828,5398.0591,5433.6977
000985.CSI,20210330,5472.2897,5408.7485,5463.4299
000985.CSI,20210329,5470.6432,5403.796,5436.1515
000985.CSI,20210326,5437.3562,5337.5655,5425.7543
000985.CSI,20210325,5345.9021,5271.911,5318.0582
000985.CSI,20210324,5407.4556,5310.8535,5318.9723
000985.CSI,20210323,5456.7072,5361.8037,5397.6099
000985.CSI,20210322,5456.7174,5385.7037,5456.4008
000985.CSI,20210319,5454.4527,5361.9237,5389.634
000985.CSI,20210318,5514.4799,5463.2356,5493.3516
000985.CSI,20210317,5470.8231,5374.1233,5457.8584
000985.CSI,20210316,5430.5274,5356.4402,5430.0354
000985.CSI,20210315,5456.9311,5335.465,5382.1092
000985.CSI,20210312,5473.2336,5409.5008,5469.1625
000985.CSI,20210311,5452.2848,5324.5242,5452.2848
000985.CSI,20210310,5391.7653,5309.1116,5321.8715
000985.CSI,20210309,5447.1201,5253.1022,5317.1495
000985.CSI,20210308,5672.4379,5445.8382,5446.469
000985.CSI,20210305,5646.2794,5522.9144,5607.5509
000985.CSI,20210304,5712.9756,5587.9845,5611.5937
000985.CSI,20210303,5759.7838,5644.4479,5759.4494
000985.CSI,20210302,5753.7445,5622.753,5665.895
000985.CSI,20210301,5725.6887,5646.0969,5723.7588
000985.CSI,20210226,5687.769,5599.4313,5617.6694
